OTU	Test-Statistic	P	FDR_P	Bonferroni_P	2017_mean	2016_mean	2018_mean	taxonomy
4398173	37.9166666667	5.84117808636e-09	1.4232533334e-08	2.77572782664e-05	0.0	2.5	0.0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__0319-6G20; g__; s__
4466549	37.9166666667	5.84117808636e-09	1.4232533334e-08	2.77572782664e-05	0.0	2.25	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Alicyclobacillaceae; g__Alicyclobacillus; s__
2455682	37.9166666667	5.84117808636e-09	1.4232533334e-08	2.77572782664e-05	0.0	1.25	0.0	k__Bacteria; p__Verrucomicrobia; c__Verruco-5; o__WCHB1-41; f__; g__; s__
4434044	37.9166666667	5.84117808636e-09	1.4232533334e-08	2.77572782664e-05	0.0	1.5	0.0	k__Bacteria; p__Chlorobi; c__SJA-28; o__; f__; g__; s__
331282	37.9166666667	5.84117808636e-09	1.4232533334e-08	2.77572782664e-05	0.0	5.5	0.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas; s__wittichii
788498	37.9166666667	5.84117808636e-09	1.4232533334e-08	2.77572782664e-05	0.0	2.25	0.0	k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Gaiellales; f__Gaiellaceae; g__; s__
4379835	37.9166666667	5.84117808636e-09	1.4232533334e-08	2.77572782664e-05	0.0	2.5	0.0	k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__; s__
132901	37.9166666667	5.84117808636e-09	1.4232533334e-08	2.77572782664e-05	0.0	1.25	0.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__; g__; s__
4418930	37.9166666667	5.84117808636e-09	1.4232533334e-08	2.77572782664e-05	0.0	3.5	0.0	k__Bacteria; p__Planctomycetes; c__BD7-11; o__; f__; g__; s__
640641	37.9166666667	5.84117808636e-09	1.4232533334e-08	2.77572782664e-05	0.0	2.75	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__
592971	37.9166666667	5.84117808636e-09	1.4232533334e-08	2.77572782664e-05	0.0	1.75	0.0	k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales; f__Helicobacteraceae; g__; s__
4326632	37.9166666667	5.84117808636e-09	1.4232533334e-08	2.77572782664e-05	0.0	5.75	0.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Loktanella; s__salsilacus
572351	37.9166666667	5.84117808636e-09	1.4232533334e-08	2.77572782664e-05	0.0	1.75	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Paenibacillus; s__
1130705	37.9166666667	5.84117808636e-09	1.4232533334e-08	2.77572782664e-05	0.0	2.25	0.0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__MIZ46; f__; g__; s__
4358809	37.9166666667	5.84117808636e-09	1.4232533334e-08	2.77572782664e-05	0.0	1.75	0.0	k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__; s__
2618782	37.9166666667	5.84117808636e-09	1.4232533334e-08	2.77572782664e-05	0.0	2.75	0.0	k__Bacteria; p__Chloroflexi; c__TK10; o__AKYG885; f__Dolo_23; g__; s__
227434	37.9166666667	5.84117808636e-09	1.4232533334e-08	2.77572782664e-05	0.0	1.75	0.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__; s__
824904	37.9166666667	5.84117808636e-09	1.4232533334e-08	2.77572782664e-05	0.0	1.75	0.0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Syntrophobacterales; f__Syntrophobacteraceae; g__; s__
866480	37.9166666667	5.84117808636e-09	1.4232533334e-08	2.77572782664e-05	0.0	1.5	0.0	k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__; g__; s__
741139	37.9166666667	5.84117808636e-09	1.4232533334e-08	2.77572782664e-05	0.0	2.5	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; s__
524353	37.9166666667	5.84117808636e-09	1.4232533334e-08	2.77572782664e-05	0.0	5.0	0.0	k__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__WD2101; f__; g__; s__
576785	37.9166666667	5.84117808636e-09	1.4232533334e-08	2.77572782664e-05	0.0	3.0	0.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__; s__
729052	37.9166666667	5.84117808636e-09	1.4232533334e-08	2.77572782664e-05	0.0	1.25	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptococcaceae; g__Desulfosporosinus; s__meridiei
1135207	37.9166666667	5.84117808636e-09	1.4232533334e-08	2.77572782664e-05	0.0	4.0	0.0	k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Saprospiraceae; g__; s__
287211	37.9166666667	5.84117808636e-09	1.4232533334e-08	2.77572782664e-05	0.0	1.25	0.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__; g__; s__
583840	37.9166666667	5.84117808636e-09	1.4232533334e-08	2.77572782664e-05	0.0	15.5	0.0	k__Bacteria; p__Nitrospirae; c__Nitrospira; o__Nitrospirales; f__Nitrospiraceae; g__Nitrospira; s__
582369	37.9166666667	5.84117808636e-09	1.4232533334e-08	2.77572782664e-05	0.0	3.5	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__
1919149	37.9166666667	5.84117808636e-09	1.4232533334e-08	2.77572782664e-05	0.0	1.5	0.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__; s__
610433	37.9166666667	5.84117808636e-09	1.4232533334e-08	2.77572782664e-05	0.0	1.25	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__Legionellaceae; g__; s__
2920135	37.9166666667	5.84117808636e-09	1.4232533334e-08	2.77572782664e-05	0.0	1.5	0.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Devosia; s__
810947	37.9166666667	5.84117808636e-09	1.4232533334e-08	2.77572782664e-05	0.0	1.25	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Sinobacteraceae; g__; s__
334931	37.9166666667	5.84117808636e-09	1.4232533334e-08	2.77572782664e-05	0.0	3.75	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae; g__; s__
746424	37.9166666667	5.84117808636e-09	1.4232533334e-08	2.77572782664e-05	0.0	3.0	0.0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Syntrophobacterales; f__Syntrophobacteraceae; g__; s__
72263	37.9166666667	5.84117808636e-09	1.4232533334e-08	2.77572782664e-05	0.0	2.0	0.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Micromonosporaceae; g__Pilimelia; s__terevasa
241499	37.9166666667	5.84117808636e-09	1.4232533334e-08	2.77572782664e-05	0.0	1.25	0.0	k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Gaiellales; f__Gaiellaceae; g__; s__
1135155	37.9166666667	5.84117808636e-09	1.4232533334e-08	2.77572782664e-05	0.0	2.75	0.0	k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__Ferruginibacter; s__lapsinanis
256241	37.9166666667	5.84117808636e-09	1.4232533334e-08	2.77572782664e-05	0.0	2.75	0.0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__; g__; s__
582973	37.9166666667	5.84117808636e-09	1.4232533334e-08	2.77572782664e-05	0.0	26.25	0.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__; s__
827497	37.9166666667	5.84117808636e-09	1.4232533334e-08	2.77572782664e-05	0.0	9.0	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__alcaligenes
142273	37.9166666667	5.84117808636e-09	1.4232533334e-08	2.77572782664e-05	0.0	1.75	0.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Gallionellales; f__Gallionellaceae; g__Gallionella; s__
792230	37.9166666667	5.84117808636e-09	1.4232533334e-08	2.77572782664e-05	0.0	3.25	0.0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__; g__; s__
4335789	37.9166666667	5.84117808636e-09	1.4232533334e-08	2.77572782664e-05	0.0	1.5	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__Legionellaceae; g__Tatlockia; s__
187488	37.9166666667	5.84117808636e-09	1.4232533334e-08	2.77572782664e-05	0.0	1.5	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__211ds20; g__; s__
761797	37.9166666667	5.84117808636e-09	1.4232533334e-08	2.77572782664e-05	0.0	2.25	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__; g__; s__
695365	37.9166666667	5.84117808636e-09	1.4232533334e-08	2.77572782664e-05	0.0	1.25	0.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Rhodocyclales; f__Rhodocyclaceae; g__; s__
40609	37.9166666667	5.84117808636e-09	1.4232533334e-08	2.77572782664e-05	0.0	1.25	0.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Frankiaceae; g__Frankia; s__
111642	37.9166666667	5.84117808636e-09	1.4232533334e-08	2.77572782664e-05	0.0	1.25	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Sinobacteraceae; g__; s__
4021888	37.9166666667	5.84117808636e-09	1.4232533334e-08	2.77572782664e-05	0.0	16.0	0.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Ellin329; f__; g__; s__
1146390	37.9166666667	5.84117808636e-09	1.4232533334e-08	2.77572782664e-05	0.0	4.0	0.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Rhodoplanes; s__
260668	37.9166666667	5.84117808636e-09	1.4232533334e-08	2.77572782664e-05	0.0	9.5	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__; s__
4329544	37.9166666667	5.84117808636e-09	1.4232533334e-08	2.77572782664e-05	0.0	2.25	0.0	k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__iii1-15; f__; g__; s__
4444010	37.9166666667	5.84117808636e-09	1.4232533334e-08	2.77572782664e-05	0.0	1.75	0.0	k__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__CCM11a; f__; g__; s__
4291969	37.9166666667	5.84117808636e-09	1.4232533334e-08	2.77572782664e-05	0.0	2.0	0.0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__; g__; s__
197062	37.9166666667	5.84117808636e-09	1.4232533334e-08	2.77572782664e-05	0.0	1.5	0.0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__; g__; s__
336308	37.9166666667	5.84117808636e-09	1.4232533334e-08	2.77572782664e-05	0.0	1.75	0.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Kaistobacter; s__
4311393	37.9166666667	5.84117808636e-09	1.4232533334e-08	2.77572782664e-05	0.0	1.25	0.0	k__Bacteria; p__Acidobacteria; c__Acidobacteria-6; o__iii1-15; f__; g__; s__
4336569	37.9166666667	5.84117808636e-09	1.4232533334e-08	2.77572782664e-05	0.0	4.0	0.0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptostreptococcaceae; g__Tepidibacter; s__
1139660	37.9166666667	5.84117808636e-09	1.4232533334e-08	2.77572782664e-05	0.0	1.25	0.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Nocardioidaceae; g__Nocardioides; s__bigeumensis
3998360	37.9166666667	5.84117808636e-09	1.4232533334e-08	2.77572782664e-05	0.0	3.75	0.0	k__Bacteria; p__Acidobacteria; c__[Chloracidobacteria]; o__PK29; f__; g__; s__
147174	37.9166666667	5.84117808636e-09	1.4232533334e-08	2.77572782664e-05	0.0	2.25	0.0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Syntrophobacterales; f__Syntrophobacteraceae; g__; s__
131516	37.9166666667	5.84117808636e-09	1.4232533334e-08	2.77572782664e-05	0.0	1.25	0.0	k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__C111; g__; s__
1124784	37.9166666667	5.84117808636e-09	1.4232533334e-08	2.77572782664e-05	0.0	2.5	0.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Streptomycetaceae; g__Streptomyces; s__axinellae
104172	37.9166666667	5.84117808636e-09	1.4232533334e-08	2.77572782664e-05	0.0	1.5	0.0	k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Gaiellales; f__Gaiellaceae; g__; s__
583767	37.9166666667	5.84117808636e-09	1.4232533334e-08	2.77572782664e-05	0.0	1.25	0.0	k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Gaiellales; f__Gaiellaceae; g__; s__
4437172	37.9166666667	5.84117808636e-09	1.4232533334e-08	2.77572782664e-05	0.0	1.25	0.0	k__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__Phycisphaerales; f__; g__; s__
225142	37.9166666667	5.84117808636e-09	1.4232533334e-08	2.77572782664e-05	0.0	1.25	0.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Streptosporangiaceae; g__; s__
834663	37.9166666667	5.84117808636e-09	1.4232533334e-08	2.77572782664e-05	0.0	1.5	0.0	k__Bacteria; p__TM6; c__SJA-4; o__; f__; g__; s__
543753	37.9166666667	5.84117808636e-09	1.4232533334e-08	2.77572782664e-05	0.0	1.25	0.0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__; g__; s__
834135	37.9166666667	5.84117808636e-09	1.4232533334e-08	2.77572782664e-05	0.0	6.0	0.0	k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__; g__; s__
4439810	37.9166666667	5.84117808636e-09	1.4232533334e-08	2.77572782664e-05	0.0	1.25	0.0	k__Bacteria; p__Proteobacteria; c__TA18; o__CV90; f__; g__; s__
40511	37.9166666667	5.84117808636e-09	1.4232533334e-08	2.77572782664e-05	0.0	1.5	0.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__; g__; s__
834366	37.9166666667	5.84117808636e-09	1.4232533334e-08	2.77572782664e-05	0.0	10.0	0.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Rhodobacter; s__
814282	37.9166666667	5.84117808636e-09	1.4232533334e-08	2.77572782664e-05	0.0	1.25	0.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Erythrobacteraceae; g__; s__
87167	37.9166666667	5.84117808636e-09	1.4232533334e-08	2.77572782664e-05	0.0	1.75	0.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas; s__wittichii
927720	37.8889700511	5.92263121047e-09	1.4232533334e-08	2.81443435122e-05	0.0	1.5	0.0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__
10682	37.8889700511	5.92263121047e-09	1.4232533334e-08	2.81443435122e-05	0.0	1.5	0.0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__Haliangiaceae; g__; s__
1101476	37.8889700511	5.92263121047e-09	1.4232533334e-08	2.81443435122e-05	0.0	6.5	0.0	k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__EB1017; g__; s__
664013	37.8889700511	5.92263121047e-09	1.4232533334e-08	2.81443435122e-05	0.0	3.0	0.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Streptomycetaceae; g__Streptomyces; s__
531332	37.8889700511	5.92263121047e-09	1.4232533334e-08	2.81443435122e-05	0.0	2.5	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__; g__; s__
4382847	37.8889700511	5.92263121047e-09	1.4232533334e-08	2.81443435122e-05	0.0	14.5	0.0	k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Pirellulales; f__Pirellulaceae; g__; s__
4409397	37.8889700511	5.92263121047e-09	1.4232533334e-08	2.81443435122e-05	0.0	4.5	0.0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__; f__; g__; s__
240912	37.8889700511	5.92263121047e-09	1.4232533334e-08	2.81443435122e-05	0.0	1.5	0.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Bradyrhizobiaceae; g__; s__
576571	37.8889700511	5.92263121047e-09	1.4232533334e-08	2.81443435122e-05	0.0	2.5	0.0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Streptomycetaceae; g__; s__
820161	37.8889700511	5.92263121047e-09	1.4232533334e-08	2.81443435122e-05	0.0	1.5	0.0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Syntrophobacterales; f__Syntrophobacteraceae; g__; s__
772177	37.8889700511	5.92263121047e-09	1.4232533334e-08	2.81443435122e-05	0.0	1.5	0.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Bradyrhizobiaceae; g__Nitrobacter; s__
4468814	37.8889700511	5.92263121047e-09	1.4232533334e-08	2.81443435122e-05	0.0	3.0	0.0	k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Pirellulales; f__Pirellulaceae; g__A17; s__
511723	37.8889700511	5.92263121047e-09	1.4232533334e-08	2.81443435122e-05	0.0	1.5	0.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Rhodocyclales; f__Rhodocyclaceae; g__; s__
1120112	37.8889700511	5.92263121047e-09	1.4232533334e-08	2.81443435122e-05	0.0	2.5	0.0	k__Bacteria; p__Planctomycetes; c__OM190; o__agg27; f__; g__; s__
807415	37.8889700511	5.92263121047e-09	1.4232533334e-08	2.81443435122e-05	0.0	2.5	0.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__; s__
144089	37.8889700511	5.92263121047e-09	1.4232533334e-08	2.81443435122e-05	0.0	4.0	0.0	k__Bacteria; p__Verrucomicrobia; c__Opitutae; o__Opitutales; f__Opitutaceae; g__; s__
68336	37.8889700511	5.92263121047e-09	1.4232533334e-08	2.81443435122e-05	0.0	2.0	0.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Rhodoplanes; s__elegans
3592899	37.8889700511	5.92263121047e-09	1.4232533334e-08	2.81443435122e-05	0.0	2.5	0.0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__MIZ46; f__; g__; s__
3383614	37.8889700511	5.92263121047e-09	1.4232533334e-08	2.81443435122e-05	0.0	2.0	0.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__; s__
931895	37.8889700511	5.92263121047e-09	1.4232533334e-08	2.81443435122e-05	0.0	4.5	0.0	k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Pirellulales; f__Pirellulaceae; g__; s__
4348745	37.8889700511	5.92263121047e-09	1.4232533334e-08	2.81443435122e-05	0.0	1.5	0.0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__; g__; s__
4458846	37.8889700511	5.92263121047e-09	1.4232533334e-08	2.81443435122e-05	0.0	2.5	0.0	k__Bacteria; p__TM6; c__SJA-4; o__; f__; g__; s__
342100	37.8889700511	5.92263121047e-09	1.4232533334e-08	2.81443435122e-05	0.0	1.5	0.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__; g__; s__
1107976	37.8889700511	5.92263121047e-09	1.4232533334e-08	2.81443435122e-05	0.0	5.5	0.0	k__Bacteria; p__Acidobacteria; c__Sva0725; o__Sva0725; f__; g__; s__
4313943	37.8889700511	5.92263121047e-09	1.4232533334e-08	2.81443435122e-05	0.0	3.0	0.0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfuromonadales; f__Geobacteraceae; g__; s__
852205	37.8889700511	5.92263121047e-09	1.4232533334e-08	2.81443435122e-05	0.0	2.5	0.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Rhodoplanes; s__
265283	37.8889700511	5.92263121047e-09	1.4232533334e-08	2.81443435122e-05	0.0	2.0	0.0	k__Bacteria; p__Gemmatimonadetes; c__Gemm-1; o__; f__; g__; s__
102924	37.8889700511	5.92263121047e-09	1.4232533334e-08	2.81443435122e-05	0.0	1.5	0.0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__; g__; s__
1138574	37.8889700511	5.92263121047e-09	1.4232533334e-08	2.81443435122e-05	0.0	9.0	0.0	k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__; s__
590047	37.8889700511	5.92263121047e-09	1.4232533334e-08	2.81443435122e-05	0.0	4.5	0.0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Acidovorax; s__
